"Variable","Importance","type"
"Virtual vacancies rate",1.37642282529749,"Socioeconomic"
"PILA rate",1.31378996586958,"Socioeconomic"
"Secondary sector AV",0.768614976975759,"Socioeconomic"
"Subsidized regime proportion",0.620599987894147,"Socioeconomic"
"Rurality",0.601723676467388,"Demographic"
"Tertiary sector AV",0.583696256103765,"Socioeconomic"
"Base salary",0.495866969257682,"Socioeconomic"
"Primary sector AV proportion",0.473014293004966,"Socioeconomic"
"Primary sector AV",0.470225190500821,"Socioeconomic"
"Women WAP proportion",0.416273211949745,"Socioeconomic"
"Tertiary sector AV proportion",0.260584808324432,"Socioeconomic"
"Percentage of men aged over 54",0.25084501466196,"Demographic"
"Secondary sector AV proportion",0.235182539683497,"Socioeconomic"
"Distance to market",0.227100975325943,"Geographic"
"Distance to Bogota",0.21317354842305,"Geographic"
"Altitud",0.20024454834099,"Geographic"
"Percentage of women aged 24 to 54",0.181553502929901,"Demographic"
"Percentage of men aged 15 to 24",0.179031157524318,"Demographic"
"Percentage of women aged over 54",0.176023431986217,"Demographic"
"Area km2",0.147583584795473,"Geographic"
"Distance to main market",0.138143332073657,"Geographic"
"Percentage of women aged 15 to 24",0.12808974427734,"Demographic"
"Percentage of men aged 24 to 54",0.113281954778417,"Demographic"
"Years since creation",0.111104266844596,"Geographic"
"Coca crops",0.0858104848291243,"Socioeconomic"
"Andean Region",0.0524332767677795,"Geographic"
"Pacific Region",0.0388950957995502,"Geographic"
"Caribbean Region",0.0065808829755567,"Geographic"
"Orinoquia Region",0.000945696871780921,"Geographic"
"Amazon Region",0.00068732708611563,"Geographic"
