codigo,anno,lisa_clusters_nombres_repro
05001,2011,LL
05002,2011,HL
05004,2011,NS
05021,2011,NS
05030,2011,LL
05031,2011,NS
05034,2011,NS
05036,2011,LL
05038,2011,NS
05040,2011,NS
05042,2011,NS
05044,2011,NS
05045,2011,NS
05051,2011,NS
05055,2011,NS
05059,2011,NS
05079,2011,LL
05086,2011,LL
05088,2011,LL
05091,2011,NS
05093,2011,NS
05101,2011,NS
05107,2011,NS
05113,2011,NS
05120,2011,NS
05125,2011,NS
05129,2011,LL
05134,2011,NS
05138,2011,NS
05142,2011,NS
05145,2011,HL
05147,2011,LL
05148,2011,LL
05150,2011,NS
05154,2011,NS
05172,2011,NS
05190,2011,NS
05197,2011,NS
05206,2011,NS
05209,2011,NS
05212,2011,LL
05234,2011,NS
05237,2011,LL
05240,2011,NS
05250,2011,NS
05264,2011,LL
05266,2011,LL
05282,2011,LL
05284,2011,NS
05306,2011,NS
05308,2011,LL
05310,2011,NS
05313,2011,NS
05315,2011,NS
05318,2011,LL
05321,2011,NS
05347,2011,NS
05353,2011,NS
05360,2011,LL
05361,2011,NS
05364,2011,NS
05368,2011,NS
05376,2011,LL
05380,2011,LL
05390,2011,NS
05400,2011,NS
05411,2011,NS
05425,2011,NS
05440,2011,LL
05467,2011,HL
05475,2011,NS
05480,2011,NS
05483,2011,NS
05490,2011,NS
05495,2011,NS
05501,2011,NS
05541,2011,NS
05543,2011,NS
05576,2011,NS
05579,2011,NS
05585,2011,NS
05591,2011,NS
05604,2011,NS
05607,2011,LL
05615,2011,LL
05628,2011,NS
05631,2011,LL
05642,2011,NS
05647,2011,NS
05649,2011,NS
05652,2011,NS
05656,2011,LL
05658,2011,NS
05659,2011,NS
05660,2011,NS
05664,2011,LL
05665,2011,NS
05667,2011,NS
05670,2011,NS
05674,2011,HL
05679,2011,LL
05686,2011,LL
05690,2011,NS
05697,2011,NS
05736,2011,NS
05756,2011,NS
05761,2011,NS
05789,2011,LL
05790,2011,NS
05792,2011,NS
05809,2011,NS
05819,2011,NS
05837,2011,NS
05842,2011,NS
05847,2011,NS
05854,2011,NS
05856,2011,NS
05858,2011,NS
05861,2011,LL
05873,2011,NS
05885,2011,NS
05887,2011,NS
05890,2011,NS
05893,2011,NS
05895,2011,NS
08001,2011,NS
08078,2011,NS
08137,2011,NS
08141,2011,NS
08296,2011,LL
08372,2011,NS
08421,2011,NS
08433,2011,NS
08436,2011,NS
08520,2011,NS
08549,2011,NS
08558,2011,NS
