anno,variable,importance,ranking
2011,pregimen_subsidiado,15214.088504735182,1
2011,va_actividad_secundaria,8257.758732321732,2
2011,formal_rate,7762.736800225394,3
2011,pgroup5,6204.270456409946,4
2011,pgroup2,5038.855276914368,5
2011,va_actividad_terciaria,4441.55369932655,6
2011,pmujerpet,3823.047115284604,7
2011,psecondary,3307.891079239535,8
2011,ruralidad,3012.5597560387187,9
2011,pprimary,2332.3716685176455,10
2016,pregimen_subsidiado,16452.139826587398,1
2016,vacancy_rate,10897.335768521443,2
2016,formal_rate,10058.760669805199,3
2016,va_actividad_secundaria,6268.115348120648,4
2016,pgroup2,5314.955996605731,5
2016,pgroup5,4660.357459990654,6
2016,va_actividad_terciaria,4653.1589644234855,7
2016,pmujerpet,4159.619329813424,8
2016,ruralidad,3248.345406555257,9
2016,pprimary,2827.912594166211,10
2021,pregimen_subsidiado,17876.314142243198,1
2021,formal_rate,13937.38195834786,2
2021,va_actividad_secundaria,6842.460297077619,3
2021,vacancy_rate,6653.345952414026,4
2021,pgroup2,5207.163588876309,5
2021,pgroup5,4495.93580709588,6
2021,va_actividad_terciaria,4452.435775122795,7
2021,promleccri,4158.436753384472,8
2021,promglobal,3648.1446054586277,9
2021,pmujerpet,3467.929738522405,10
